CHARTER,SNAME,DNAME,CNAME,API12B,ST_RANK,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,PCT_MR,MEALS,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED
,Flying Hills Elementary,Cajon Valley Union,San Diego,842,7,5,1,3,0,33,1,48,3,53,17,0,18,6,14,22,33,N/A,89,6,31,37,21,6,2.9
,Antelope Elementary,Eastern Sierra Unified,Mono,842,7,3,7,0,1,18,1,59,11,43,0,0,4,5,8,18,19,16,82,5,29,44,16,5,2.87
,Wildwood Elementary,Yucaipa-Calimesa Joint Unified,San Bernardino,842,7,1,1,1,1,35,0,61,1,49,15,0,11,2,11,23,32,N/A,96,9,40,21,17,13,2.86
,Lynwood Elementary,Novato Unified,Marin,842,7,6,0,6,1,52,0,27,8,65,17,0,33,10,17,18,27,N/A,100,21,24,18,20,16,2.86
,Buena Vista Arts-Integrated,Ontario-Montclair Elementary,San Bernardino,842,7,5,0,2,1,78,1,13,1,68,18,0,22,8,9,28,32,N/A,98,12,24,40,18,7,2.86
,,Solvang Elementary,Santa Barbara,842,B,1,1,2,0,45,0,50,0,42,0,0,30,11,13,24,34,26,93,23,23,20,20,14,2.79
,Solvang Elementary,Solvang Elementary,Santa Barbara,842,7,1,1,2,0,45,0,50,0,42,0,0,30,11,13,24,34,26,93,23,23,20,20,14,2.79
,Central Middle,Riverside Unified,Riverside,842,7,8,0,3,1,59,0,28,0,68,12,0,9,17,11,N/A,36,29,99,22,22,30,13,14,2.74
,McCaffrey Middle,Galt Joint Union Elementary,Sacramento,842,7,3,1,1,2,52,1,40,0,61,17,3,5,28,13,N/A,N/A,28,96,13,29,37,15,6,2.72
,Louisiana Schnell Elementary,Placerville Union Elementary,El Dorado,842,7,1,1,0,0,33,0,57,7,63,9,0,19,3,8,22,28,N/A,91,12,33,37,12,7,2.69
,Cleminson Elementary,El Monte City Elementary,Los Angeles,842,7,2,0,29,3,52,0,13,2,64,3,1,29,16,7,26,26,N/A,97,18,30,25,21,7,2.69
,Christa McAuliffe Elementary,Oxnard,Ventura,842,7,6,0,3,4,68,0,16,2,66,42,0,21,11,7,30,33,N/A,99,17,35,27,16,6,2.58
,Buena Park Junior High,Buena Park Elementary,Orange,842,7,6,0,13,7,64,1,8,1,67,13,0,30,26,9,N/A,N/A,28,89,25,26,23,20,6,2.57
,Old River Elementary,Panama-Buena Vista Union,Kern,842,7,8,0,10,4,43,0,33,1,42,6,0,9,9,7,32,30,N/A,53,13,47,17,21,1,2.51
,McCardle Elementary,Fresno Unified,Fresno,842,7,8,0,7,1,52,2,29,0,77,1,0,11,6,14,21,29,N/A,90,17,42,24,12,6,2.47
,Francisco Bravo Medical Magnet High,Los Angeles Unified,Los Angeles,842,9,2,0,10,3,74,0,10,0,85,42,1,3,63,1,N/A,N/A,30,60,31,27,17,18,6,2.4
,Hinkley Elementary/Middle,Barstow Unified,San Bernardino,842,7,4,0,1,0,58,0,36,0,80,19,0,33,9,8,24,25,23,98,24,43,23,7,2,2.2
,Mead Valley Elementary,Val Verde Unified,Riverside,842,7,5,0,1,0,82,0,11,1,92,10,0,45,12,11,27,26,N/A,87,36,28,23,9,4,2.17
,Highland Elementary,West Contra Costa Unified,Contra Costa,842,7,23,0,11,5,55,0,4,0,87,10,0,41,20,13,22,29,N/A,82,25,46,20,9,0,2.14
,Danbrook Elementary,Centralia Elementary,Orange,842,7,3,1,3,3,79,2,6,3,89,4,0,55,15,11,26,33,N/A,94,35,35,17,9,4,2.13
,Eshelman Avenue Elementary,Los Angeles Unified,Los Angeles,842,7,13,2,4,2,69,1,9,0,80,4,0,19,17,13,19,15,N/A,75,45,31,15,8,1,1.89
,Madison Elementary,Santa Ana Unified,Orange,842,7,0,0,2,0,96,0,1,0,100,5,3,71,17,10,25,31,N/A,98,59,24,13,3,1,1.62
,Brisbane Elementary,Brisbane Elementary,San Mateo,841,7,0,0,18,5,33,3,31,10,16,3,0,3,15,12,26,22,N/A,94,2,11,25,40,22,3.68
,El Dorado High,Placentia-Yorba Linda Unified,Orange,841,9,3,0,8,1,27,0,60,1,21,11,0,5,9,13,N/A,N/A,28,83,5,11,27,35,22,3.57
,Juanamaria Elementary,Ventura Unified,Ventura,841,7,1,0,3,1,37,0,54,4,40,13,0,15,2,11,23,28,N/A,99,7,10,30,31,23,3.53
,,San Mateo-Foster City,San Mateo,841,B,2,0,22,4,33,3,30,5,32,7,0,25,10,9,25,27,28,97,10,14,19,30,27,3.51
,Shasta High,Shasta Union High,Shasta,841,9,2,5,4,1,9,1,78,0,37,17,0,1,2,7,N/A,N/A,27,92,3,13,34,29,20,3.5
,Vanden High,Travis Unified,Solano,841,9,17,1,6,11,19,2,40,4,21,0,0,2,7,9,N/A,N/A,30,96,1,10,41,35,12,3.47
,Monte Vista Elementary,Murrieta Valley Unified,Riverside,841,7,6,0,7,9,33,1,37,8,29,9,0,4,4,13,25,31,N/A,89,5,14,31,40,10,3.37
,T. L. Waggoner Elementary,Imperial Unified,Imperial,841,7,2,0,1,0,76,0,20,0,32,10,3,31,2,4,20,29,N/A,96,4,16,38,21,20,3.37
,Newport Harbor High,Newport-Mesa Unified,Orange,841,9,1,0,2,1,34,1,61,0,36,5,0,11,15,8,N/A,N/A,28,91,13,11,21,36,19,3.37
,,Gold Oak Union Elementary,El Dorado,841,B,2,1,0,0,6,1,88,1,38,11,0,1,1,10,28,23,21,96,2,17,38,29,13,3.33
,Mira Monte Elementary,Ojai Unified,Ventura,841,7,0,1,2,0,33,0,62,1,39,6,0,16,7,17,18,18,N/A,95,9,18,25,34,15,3.27
,New Technology High,Napa Valley Unified,Napa,841,9,2,0,3,2,38,0,50,4,28,26,2,3,24,3,N/A,N/A,31,89,13,13,27,30,17,3.25
,Alpine Elementary,Alpine Union Elementary,San Diego,841,7,0,5,1,0,22,1,68,2,32,5,0,7,0,11,28,30,N/A,89,4,16,42,25,12,3.25
,Petaluma Junior High,Petaluma City Schools,Sonoma,841,7,1,0,1,1,30,0,65,2,34,10,1,14,10,14,N/A,N/A,28,96,13,14,28,28,17,3.22
,Citrus Hills Intermediate,Corona-Norco Unified,Riverside,841,7,6,0,8,2,38,0,44,0,32,11,0,6,17,13,N/A,N/A,27,86,11,14,35,27,13,3.17
Y,Lemoore University Elementary Charter,Lemoore Union Elementary,Kings,841,7,4,0,0,4,37,0,52,2,34,10,3,5,5,4,N/A,24,22,98,2,18,50,19,10,3.17
,Brooks Elementary,Windsor Unified,Sonoma,841,7,1,2,1,0,35,1,58,0,36,9,2,16,7,19,N/A,27,N/A,93,12,20,25,29,15,3.14
,Daniel Webster,Pasadena Unified,Los Angeles,841,7,10,0,2,1,36,1,43,5,59,9,0,25,9,18,23,31,N/A,98,9,25,24,28,14,3.13
,Christa McAuliffe Elementary,Oceanside Unified,San Diego,841,7,5,0,4,2,48,1,38,0,47,10,2,16,13,11,26,32,N/A,94,12,16,33,28,11,3.1
,,Burnt Ranch Elementary,Trinity,841,B,1,29,0,0,9,0,60,0,56,4,0,0,0,16,8,9,N/A,71,0,35,35,19,10,3.04
,Burnt Ranch Elementary,Burnt Ranch Elementary,Trinity,841,7,1,29,0,0,9,0,60,0,56,4,0,0,0,16,8,9,N/A,71,0,35,35,19,10,3.04
,Bell Mountain Middle,Menifee Union Elementary,Riverside,841,7,10,0,3,8,37,1,39,0,37,16,0,6,8,8,N/A,25,26,81,6,21,43,25,5,3.02
,Joe Michell,Livermore Valley Joint Unified,Alameda,841,7,2,0,4,4,43,1,43,4,38,4,5,17,10,14,23,23,33,100,13,19,30,29,9,3.02
,Knightsen Elementary,Knightsen Elementary,Contra Costa,841,7,1,1,1,0,34,0,63,0,39,4,0,11,7,14,20,21,26,98,9,24,37,23,7,2.96
,Jersey Avenue Elementary,Little Lake City Elementary,Los Angeles,841,7,1,1,0,1,93,0,3,0,67,15,0,15,6,8,29,32,N/A,94,8,23,51,11,6,2.84
,Mission Hills High,San Marcos Unified,San Diego,841,9,3,1,4,4,51,0,36,1,45,26,6,12,27,12,N/A,N/A,29,95,24,17,24,22,13,2.83
,Ballico Elementary,Ballico-Cressey Elementary,Merced,841,7,0,0,3,0,66,0,30,1,72,4,1,35,19,10,N/A,30,29,55,22,26,14,24,14,2.81
,Apricot Valley Elementary,Patterson Joint Unified,Stanislaus,841,7,12,0,6,4,51,4,19,2,61,4,1,21,11,14,28,32,N/A,100,15,24,35,21,5,2.77
,Margaret Pauline Brown Elementary,Jefferson Elementary,San Mateo,841,7,2,0,12,35,35,2,11,4,64,3,0,64,11,13,21,23,N/A,79,10,29,33,27,0,2.77
,Cordua Elementary,Marysville Joint Unified,Yuba,841,7,0,2,2,0,24,0,64,7,44,0,0,13,11,9,23,22,N/A,87,18,21,44,13,5,2.67
,Imperial Elementary,Downey Unified,Los Angeles,841,7,4,0,1,1,86,0,7,0,73,0,0,32,1,15,25,N/A,N/A,99,15,34,31,13,7,2.64
,Rod Kelley Elementary,Gilroy Unified,Santa Clara,841,7,1,0,0,1,85,0,11,1,68,2,0,41,12,11,25,29,N/A,91,22,27,28,15,8,2.59
,Inyokern Elementary,Sierra Sands Unified,Kern,841,7,2,3,1,2,19,0,75,0,73,1,0,10,0,12,27,31,N/A,95,20,26,38,14,3,2.54
,Los Molinos Elementary,Los Molinos Unified,Tehama,841,7,0,1,0,0,41,0,55,2,77,0,0,14,14,7,20,27,28,95,18,31,41,8,2,2.46
,Mitchell Elementary,Atwater Elementary,Merced,841,7,2,2,4,1,70,0,21,0,88,3,5,27,19,10,22,31,N/A,93,21,32,32,10,5,2.46
,Big Bear Elementary,Bear Valley Unified,San Bernardino,841,7,1,0,0,1,41,0,47,3,68,0,0,32,4,12,27,34,N/A,96,22,41,19,14,4,2.39
,Burbank Elementary,Hayward Unified,Alameda,841,7,9,1,3,3,79,1,4,1,83,0,7,45,20,4,19,24,N/A,81,24,40,21,8,7,2.34
D,Feaster (Mae L.) Charter,Chula Vista Elementary,San Diego,841,7,4,0,1,2,87,0,5,1,77,11,0,58,8,10,20,29,N/A,54,28,36,19,10,6,2.3
,Woodson Elementary,Corning Union Elementary,Tehama,841,7,0,0,2,0,56,0,41,0,75,0,8,37,6,6,23,30,N/A,77,24,40,25,9,2,2.27
D,Aspire Junior Collegiate Academy,SBC - Aspire Public Schools,El Dorado,841,7,0,0,0,0,100,0,0,0,97,0,0,41,33,6,22,30,N/A,89,25,48,21,5,1,2.09
D,River Montessori Elementary Charter,SBE - River Montessori Element,Sonoma,840,7,2,0,5,0,15,0,68,7,14,0,0,5,0,8,2,N/A,N/A,96,0,2,20,45,34,4.1
D,Fuente Nueva Charter,Arcata Elementary,Humboldt,840,7,0,0,5,0,25,0,62,2,42,0,0,0,0,7,N/A,1,N/A,96,0,4,15,51,30,4.08
,Loma Vista Elementary,Ventura Unified,Ventura,840,7,0,0,2,2,25,1,64,6,22,10,0,7,0,11,21,22,N/A,100,2,7,21,35,35,3.92
,Cowan Avenue Elementary,Los Angeles Unified,Los Angeles,840,7,74,1,3,0,5,2,15,0,40,22,0,1,0,14,12,2,N/A,77,1,7,26,36,31,3.9
Y,River Charter,Napa Valley Unified,Napa,840,7,0,1,3,0,29,0,60,6,22,34,2,2,13,6,N/A,29,28,98,4,11,23,36,26,3.69
D,Nea Community Learning Center,Alameda City Unified,Alameda,840,7,14,1,16,3,17,1,35,10,11,0,0,19,3,9,27,26,25,97,8,8,28,32,25,3.6
,,Folsom-Cordova Unified,Sacramento,840,B,7,1,11,2,16,1,59,2,33,11,0,10,11,11,28,31,32,90,5,13,25,33,24,3.59
,Sierra Hills Elementary,Placer Hills Union Elementary,Placer,840,7,0,2,0,1,6,1,89,2,30,0,0,2,0,11,20,N/A,N/A,96,1,15,29,36,19,3.58
,Penngrove Elementary,Petaluma City Schools,Sonoma,840,7,1,0,1,0,15,0,80,1,25,7,0,6,3,17,23,29,N/A,96,3,9,29,47,12,3.56
,Grossmont Middle College High,Grossmont Union High,San Diego,840,9,8,0,3,0,5,3,79,0,26,95,0,5,3,3,,,,95,0,14,39,31,17,3.5
,Monterey Road Elementary,Atascadero Unified,San Luis Obispo,840,7,0,2,4,0,20,0,67,6,38,6,0,7,3,11,29,28,N/A,100,5,10,37,29,19,3.46
,Valley View Elementary,West Contra Costa Unified,Contra Costa,840,7,19,0,22,6,17,0,35,0,36,11,0,10,9,9,23,27,N/A,94,4,20,25,34,17,3.4
,Lone Tree Elementary,Wheatland,Yuba,840,7,12,5,4,4,11,0,63,0,28,7,0,2,1,13,23,23,N/A,96,0,23,33,27,17,3.36
,Clovis High,Clovis Unified,Fresno,840,9,2,1,9,1,33,0,50,2,43,9,1,4,8,6,N/A,N/A,27,97,7,20,30,27,16,3.26
,Roy Herburger Elementary,Elk Grove Unified,Sacramento,840,7,10,0,48,7,17,4,7,7,66,2,0,35,17,6,21,28,N/A,100,6,25,29,27,12,3.15
,Oak Ridge Elementary,Oak Grove Elementary,Santa Clara,840,7,6,0,16,2,38,1,34,1,34,24,0,18,8,14,21,28,N/A,96,7,26,28,26,12,3.11
,Crestwood Street Elementary,Los Angeles Unified,Los Angeles,840,7,7,0,3,2,57,1,30,0,38,5,0,1,1,17,13,6,N/A,87,6,20,44,22,9,3.08
,Tierra Buena Elementary,Yuba City Unified,Sutter,840,7,1,0,18,1,24,0,50,6,51,8,3,11,13,13,22,25,24,96,10,21,33,24,12,3.07
,Morse Avenue Elementary,Placentia-Yorba Linda Unified,Orange,840,7,2,0,4,3,70,0,20,1,61,5,0,31,10,6,23,36,N/A,79,16,22,22,23,17,3.04
,Stuart Mesa Elementary,Oceanside Unified,San Diego,840,7,19,1,2,2,34,2,34,5,56,4,0,1,2,18,25,36,N/A,95,0,20,59,19,2,3.03
,Hidden Springs Elementary,Moreno Valley Unified,Riverside,840,7,15,1,2,3,56,1,19,2,62,9,3,16,4,10,27,28,N/A,95,8,24,36,20,11,3.02
,Caroldale Learning Community,Los Angeles Unified,Los Angeles,840,7,9,0,2,33,45,6,5,0,60,18,0,11,15,8,15,24,32,96,12,22,28,32,7,3.01
,Roberts Ferry Union Elementary,Roberts Ferry Union Elementary,Stanislaus,840,7,2,2,0,0,27,2,68,0,49,0,0,14,0,5,5,2,N/A,89,9,27,34,18,13,2.98
,,Kingsburg Elementary Charter,Fresno,840,B,0,0,3,0,58,0,34,2,54,1,0,13,7,9,23,34,26,95,11,25,32,18,14,2.98
,,Knightsen Elementary,Contra Costa,840,B,1,1,1,0,34,0,63,0,39,4,0,11,7,14,20,21,26,97,9,24,37,23,7,2.96
Y,Creative Connections Arts Academy,Twin Rivers Unified,Sacramento,840,7,13,1,3,1,34,1,43,4,59,27,0,6,11,8,26,30,25,95,5,35,31,20,10,2.95
,La Serna High,Whittier Union High,Los Angeles,840,9,1,0,3,1,53,0,40,0,38,0,0,10,9,7,N/A,N/A,34,97,15,21,32,20,12,2.93
,,Ballico-Cressey Elementary,Merced,840,B,0,0,3,0,64,0,33,0,72,3,1,38,14,9,22,30,29,59,18,29,16,24,14,2.86
,Arlie F. Hutchinson Middle,Norwalk-La Mirada Unified,Los Angeles,840,7,1,0,3,3,68,1,21,1,52,19,2,5,9,11,N/A,29,30,97,8,35,31,19,8,2.85
,Hawthorne Elementary,San Luis Coastal Unified,San Luis Obispo,840,7,1,0,2,0,50,0,41,5,61,0,0,36,1,16,21,26,N/A,98,24,21,21,16,19,2.85
,Helen Stacey Middle,Westminster Elementary,Orange,840,7,2,1,28,1,37,1,27,3,58,20,0,24,24,11,N/A,31,27,90,16,26,28,20,10,2.82
D,Port of Los Angeles High,Los Angeles Unified,Los Angeles,840,9,6,1,2,4,66,2,18,1,31,0,0,3,20,10,N/A,N/A,24,96,17,22,34,20,8,2.8
,Kimbark Elementary,San Bernardino City Unified,San Bernardino,840,7,13,1,1,0,53,0,28,1,99,27,0,20,4,7,26,32,N/A,68,15,28,30,14,12,2.8
,Great Partnership Special Education Cons,Gateway Unified,Shasta,840,C,9,6,8,0,15,0,57,4,17,0,0,0,0,100,12,12,N/A,62,9,36,33,9,12,2.79
,W. R. Nelson Elementary,Tustin Unified,Orange,840,7,3,0,9,3,65,1,17,1,63,4,0,43,6,10,23,33,N/A,95,13,34,27,18,9,2.75
,New Republic Elementary,Santa Rita Union Elementary,Monterey,840,7,2,0,6,8,68,0,15,0,65,0,0,37,11,11,24,25,N/A,84,14,33,26,22,6,2.72
,Toluca Lake Elementary,Los Angeles Unified,Los Angeles,840,7,7,0,2,1,72,0,18,0,82,12,0,19,17,10,17,20,N/A,84,16,31,28,20,6,2.68
,Norman N. Glick Middle,Empire Union Elementary,Stanislaus,840,7,7,1,5,0,52,2,32,0,73,9,1,16,16,11,N/A,N/A,25,93,16,34,31,11,8,2.62
,Santa Fe Middle,Monrovia Unified,Los Angeles,840,7,7,1,3,4,69,0,14,1,63,23,0,9,24,12,N/A,27,27,100,20,30,25,16,8,2.61
,Golden Avenue Elementary,Lemon Grove,San Diego,840,7,15,1,1,2,64,1,10,6,100,17,0,32,8,8,26,32,N/A,99,20,25,37,14,4,2.56
,Signal Hill Elementary,Long Beach Unified,Los Angeles,840,7,22,0,26,1,45,3,2,0,87,7,1,23,22,6,29,35,N/A,97,21,27,33,14,4,2.52
,Amestoy Elementary,Los Angeles Unified,Los Angeles,840,7,24,1,3,5,65,1,1,0,87,8,0,28,20,10,17,18,N/A,40,25,26,30,14,5,2.47
,La Rosa Elementary,Ceres Unified,Stanislaus,840,7,3,1,13,2,61,2,16,1,78,3,2,44,7,16,21,32,N/A,97,20,36,25,13,5,2.46
,John Adams Elementary,Desert Sands Unified,Riverside,840,7,4,0,0,1,80,0,12,2,90,5,0,28,7,17,25,28,N/A,99,18,40,28,10,4,2.44
,Imperial County Special Education,Imperial County Office of Educ,Imperial,840,C,2,0,1,0,93,0,4,0,100,0,4,35,33,100,9,10,N/A,99,26,30,21,19,3,2.43
,Rancho Mirage Elementary,Palm Springs Unified,Riverside,840,7,5,0,2,3,58,0,32,0,74,12,0,45,6,9,23,28,N/A,97,25,38,19,11,7,2.37
,James Irvine Intermediate,Garden Grove Unified,Orange,840,7,1,0,37,0,59,1,2,0,75,5,0,41,41,11,N/A,N/A,27,69,29,34,15,20,3,2.34
,Bertrand Avenue Elementary,Los Angeles Unified,Los Angeles,840,7,2,0,4,2,81,0,11,0,87,10,0,31,27,12,20,24,N/A,90,28,36,17,13,6,2.32
,Landau Elementary,Palm Springs Unified,Riverside,840,7,4,0,1,3,77,0,15,0,85,5,0,37,7,8,30,30,N/A,98,20,45,26,7,3,2.27
,Daniel Phelan Elementary,Whittier City Elementary,Los Angeles,840,7,0,0,1,1,94,0,2,1,70,0,0,20,16,8,29,31,N/A,95,16,63,12,6,3,2.18
,Harborside Elementary,Chula Vista Elementary,San Diego,840,7,4,0,0,1,91,1,3,0,81,6,0,66,6,11,17,20,N/A,91,33,34,18,11,3,2.17
,Esther L. Walter Elementary,Magnolia Elementary,Orange,840,7,2,0,7,2,80,3,4,1,93,10,0,45,37,10,25,31,N/A,61,41,32,19,7,1,1.95
,Columbia Elementary,El Monte City Elementary,Los Angeles,840,7,0,0,11,1,86,0,1,0,88,6,2,38,24,8,20,24,20,99,41,34,15,8,2,1.94
,,Dunham Elementary,Sonoma,839,B,2,0,2,0,12,0,84,0,25,0,0,11,0,15,28,23,N/A,100,5,9,37,27,23,3.54
,Art Freiler,Tracy Joint Unified,San Joaquin,839,7,5,0,13,6,39,1,26,10,34,0,0,23,10,7,28,29,26,91,5,15,26,31,23,3.52
,Patriot Elementary,Rosedale Union Elementary,Kern,839,7,3,0,3,3,29,0,60,2,27,8,0,3,5,8,23,30,N/A,97,3,12,36,32,18,3.51
,,Mt. Shasta Union Elementary,Siskiyou,839,B,1,2,1,0,16,1,74,5,40,9,0,2,2,7,23,25,22,96,1,15,41,21,22,3.48
Y,Stellar Charter,Redding Elementary,Shasta,839,7,0,1,2,0,9,0,83,5,23,1,0,0,0,6,17,15,N/A,78,0,7,51,31,10,3.45
,Norris Middle,Norris Elementary,Kern,839,7,1,0,4,3,34,1,51,5,21,0,0,2,6,3,N/A,29,31,87,2,18,34,27,19,3.43
,Gold Oak Elementary,Gold Oak Union Elementary,El Dorado,839,7,0,1,0,0,7,0,89,1,38,8,0,0,1,11,28,31,N/A,99,2,12,42,31,13,3.42
,Alder Creek Middle,Tahoe-Truckee Joint Unified,Placer,839,7,0,0,0,0,34,0,63,2,41,9,0,20,12,13,N/A,28,25,96,13,17,18,27,25,3.33
,California Elementary,Newport-Mesa Unified,Orange,839,7,3,0,5,3,36,2,51,0,51,2,1,14,6,11,24,31,N/A,95,10,12,32,32,15,3.3
,Lincoln Elementary,Ventura Unified,Ventura,839,7,0,0,4,0,38,0,48,8,52,18,0,12,2,7,25,35,N/A,100,5,18,35,25,17,3.3
,David Starr Jordan Middle,Burbank Unified,Los Angeles,839,7,2,0,4,4,47,0,38,4,0,12,0,7,14,13,N/A,26,28,94,6,19,31,31,14,3.28
,Heron,Natomas Unified,Sacramento,839,7,14,1,15,9,22,2,29,5,43,11,0,16,6,12,32,29,26,87,3,22,32,31,12,3.28
,Valley Vista Elementary,Chula Vista Elementary,San Diego,839,7,4,0,1,10,69,1,12,3,40,21,0,25,3,10,21,31,N/A,86,6,25,28,27,14,3.2
,Plymouth Elementary,Amador County Unified,Amador,839,7,1,2,0,0,27,1,59,8,53,7,0,11,9,14,27,22,N/A,99,0,25,34,38,4,3.2
,Raymond Case Elementary,Elk Grove Unified,Sacramento,839,7,15,0,30,5,24,1,16,7,59,2,0,20,16,7,24,26,N/A,97,6,24,30,29,12,3.16
,,Campbell Union,Santa Clara,839,B,4,1,11,3,46,1,32,1,45,14,0,28,17,9,22,27,28,96,12,23,22,27,16,3.13
,Herndon-Barstow Elementary,Central Unified,Fresno,839,7,4,1,19,2,55,0,17,1,63,5,1,11,19,9,19,17,N/A,91,12,18,35,23,12,3.07
,Reeds Creek Elementary,Reeds Creek Elementary,Tehama,839,7,2,4,0,0,7,1,82,4,55,0,0,3,0,11,20,25,N/A,71,3,28,42,18,9,3.03
,Ranchos Middle,Golden Valley Unified,Madera,839,7,1,0,2,0,29,0,68,0,36,12,0,4,10,8,N/A,N/A,31,92,3,31,39,17,10,3
,Cabrillo Elementary,San Diego Unified,San Diego,839,7,9,0,1,2,57,0,20,11,66,31,0,33,1,7,24,35,N/A,87,9,22,43,17,10,2.97
,,Orange Unified,Orange,839,B,2,0,10,2,50,0,33,1,43,10,0,24,10,10,28,28,27,95,21,18,22,24,15,2.95
,Magnolia Elementary,Oakdale Joint Unified,Stanislaus,839,7,0,0,0,0,29,0,68,1,53,6,3,15,3,14,19,29,N/A,98,11,23,35,23,8,2.92
Y,Ralph A. Gates Elementary,Saddleback Valley Unified,Orange,839,7,1,0,3,2,76,0,17,1,59,6,0,55,5,9,28,33,N/A,94,25,20,16,17,22,2.92
,Matthew Gage Middle,Riverside Unified,Riverside,839,7,8,0,2,0,56,0,32,0,59,13,0,9,16,11,N/A,N/A,27,96,17,19,34,15,15,2.91
,William R. Buckley Elementary,Burton Elementary,Tulare,839,7,2,1,2,3,49,0,43,0,65,0,5,22,0,6,25,32,N/A,98,15,19,42,15,9,2.84
,Green Acres Middle,Visalia Unified,Tulare,839,7,2,2,7,0,63,0,25,1,62,18,2,11,18,10,N/A,N/A,30,95,18,22,31,19,10,2.82
,Imperial Beach Elementary,South Bay Union Elementary,San Diego,839,7,5,2,2,3,55,1,32,0,67,4,0,19,5,13,23,29,N/A,93,10,29,39,18,5,2.81
,R. F. Hazard Elementary,Garden Grove Unified,Orange,839,7,0,0,13,0,85,0,1,0,86,0,0,69,17,7,26,31,N/A,3,20,27,13,33,7,2.8
,East Middle,Downey Unified,Los Angeles,839,7,3,0,3,1,83,0,9,0,60,8,0,9,21,10,N/A,21,23,100,12,32,28,18,9,2.79
,Colonel Mitchell Paige Middle,Desert Sands Unified,Riverside,839,7,4,1,1,1,61,0,31,1,64,11,0,8,17,14,N/A,31,31,99,16,27,34,15,8,2.73
,,Galt Joint Union Elementary,Sacramento,839,B,2,0,2,1,54,1,39,0,64,12,3,15,21,15,20,27,28,93,16,26,38,15,6,2.68
,Danbury Special Education,Claremont Unified,Los Angeles,839,C,0,0,3,0,67,0,26,3,69,0,0,3,21,100,6,12,N/A,23,22,33,11,22,11,2.67
,Fryberger Elementary,Westminster Elementary,Orange,839,7,0,0,35,1,49,1,11,2,74,17,0,58,9,7,22,33,N/A,88,15,31,28,23,3,2.66
,Denker Avenue Elementary,Los Angeles Unified,Los Angeles,839,7,12,0,17,2,64,2,3,0,71,4,0,33,20,10,20,21,N/A,73,17,28,34,17,5,2.64
,Gledhill Street Elementary,Los Angeles Unified,Los Angeles,839,7,2,0,6,10,72,0,8,0,74,10,0,28,22,13,19,16,N/A,90,17,38,22,19,6,2.59
,Stagg Street Elementary,Los Angeles Unified,Los Angeles,839,7,4,0,2,3,77,0,13,0,72,17,0,31,19,13,16,21,N/A,89,26,22,30,16,5,2.53
D,Mueller Charter (Robert L.),Chula Vista Elementary,San Diego,839,7,3,1,1,2,90,0,3,0,75,2,0,44,16,6,22,32,N/A,75,24,33,23,15,5,2.45
Y,Shiloh Charter,Shiloh Elementary,Stanislaus,839,7,0,0,0,0,66,0,33,1,81,0,0,31,25,7,5,25,32,93,34,18,31,13,5,2.37
,Lee Elementary,Long Beach Unified,Los Angeles,839,7,14,0,18,0,61,0,4,0,100,7,2,45,15,9,29,34,N/A,72,30,28,27,14,1,2.3
,Braddock Drive Elementary,Los Angeles Unified,Los Angeles,839,7,8,0,4,1,76,0,11,0,77,17,0,32,18,11,19,20,N/A,77,38,26,15,11,10,2.29
,Cesar E. Chavez High,Delano Joint Union High,Kern,839,9,0,0,0,0,85,0,3,12,100,17,9,28,39,8,N/A,N/A,30,72,45,30,14,8,2,1.91
,Grace Smith Elementary,Calipatria Unified,Imperial,839,7,4,0,0,0,66,0,30,0,100,2,46,44,0,8,20,16,N/A,100,54,40,4,2,0,1.54
,Heritage CCCOE Special Education Program,Contra Costa County Office of,Contra Costa,839,C,14,2,6,8,35,4,27,4,49,0,0,2,0,100,,,,0,0,0,0,0,0,
D,Westside Innovative School House,Los Angeles Unified,Los Angeles,838,7,28,0,3,1,25,3,39,0,9,0,0,4,0,12,13,12,N/A,40,0,0,11,41,48,4.37
,Rivergold Elementary,Yosemite Unified,Madera,838,7,0,2,1,0,16,0,76,4,40,10,0,0,3,9,24,30,27,95,1,12,31,33,24,3.66
D,El Camino Real Charter High,Los Angeles Unified,Los Angeles,838,9,7,2,10,6,26,0,49,1,18,38,0,2,15,8,N/A,N/A,29,70,5,0,20,74,0,3.64
,Sequoia Elementary,Oakland Unified,Alameda,838,7,28,0,16,2,20,1,21,6,48,46,0,17,8,12,27,24,N/A,58,7,13,26,31,23,3.52
,,Three Rivers Union Elementary,Tulare,838,B,0,1,3,0,23,0,68,5,39,0,0,2,0,6,16,17,N/A,99,3,6,54,20,17,3.43
,Los Osos Middle,San Luis Coastal Unified,San Luis Obispo,838,7,1,1,2,5,25,0,63,3,44,0,0,12,4,8,N/A,N/A,22,97,8,13,30,28,21,3.4
,Calavera Hills Elementary,Carlsbad Unified,San Diego,838,7,4,0,6,3,42,0,39,6,36,20,1,21,2,9,31,32,N/A,93,9,18,23,25,25,3.39
,Columbia Elementary,Fruitvale Elementary,Kern,838,7,2,1,2,2,33,0,56,2,39,0,0,1,8,14,27,25,N/A,99,2,14,42,28,14,3.38
