Gss year for this respondent                       ,Welfare,Highways and bridges,Social security,Mass transportation,Parks and recreation,Assistance for childcare,Supporting scientific research        ,Developing alternative energy sources,Foreign aid,"Military, armaments, and defense",Improving the conditions of blacks,Respondent id number,Space exploration program,Improving & protecting environment,Improving & protecting nations health,Solving problems of big cities,Halting rising crime rate,Dealing with drug addiction,Improving nations education system,Ballot used for interview
2016,Not applicable,Too little,About right,About right,About right,About right,Too little,About right,Not applicable,Not applicable,Not applicable,832,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,833,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,Too little,About right,About right,About right,About right,Too much,About right,Too little,About right,834,Too little,About right,Too little,About right,About right,About right,Too little,Ballot c
2016,Not applicable,About right,About right,Too little,About right,About right,About right,Too much,Not applicable,Not applicable,Not applicable,835,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,About right,Too little,About right,Too little,About right,Too little,Too much,Too little,Too little,836,About right,Too little,Too much,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,Too little,Too little,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,837,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,About right,Too little,838,Don't know,Don't know,Don't know,Don't know,About right,About right,Too little,Ballot c
2016,Not applicable,Too much,Too little,About right,Too much,Too little,About right,About right,Not applicable,Not applicable,Not applicable,839,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Too little,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,840,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,Too little,Too little,About right,About right,Too little,Too much,About right,Too much,Too much,Too little,841,Too much,Too much,Too little,Too much,Too little,Too little,Too much,Ballot c
2016,Not applicable,Too little,Too little,Don't know,Too little,Too little,Don't know,Don't know,Not applicable,Not applicable,Not applicable,842,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,843,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too little,Too little,About right,About right,About right,About right,Too little,Too much,Too little,About right,844,Too much,About right,About right,About right,Too little,Too little,Too little,Ballot b
2016,Not applicable,About right,Too little,About right,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,845,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,Too little,Too little,Too little,About right,Too much,About right,Not applicable,Not applicable,Not applicable,846,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,Too little,About right,About right,Too little,About right,Too little,Too much,About right,Too little,847,About right,Too little,Too little,About right,Too little,Too much,Too little,Ballot a
2016,Not applicable,Too little,Too little,About right,Too little,Too little,About right,About right,Not applicable,Not applicable,Not applicable,848,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too much,Too little,Too little,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,849,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too little,Too little,Too little,About right,Too little,About right,About right,Too much,Too little,Too little,850,Too little,Too little,Too little,About right,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too much,Too much,Too little,About right,Too much,Too much,Too much,Not applicable,Not applicable,Not applicable,851,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,About right,About right,About right,About right,About right,Too little,Too little,About right,Too much,Too little,852,Too little,Too little,About right,Too little,About right,Too much,Too little,Ballot b
2016,Not applicable,Too little,Too little,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,853,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,About right,Too little,About right,About right,Too little,Too little,About right,Too much,About right,854,Too little,Too little,Too little,About right,Too little,Too much,About right,Ballot c
2016,Not applicable,About right,About right,Too little,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,855,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,About right,Too little,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,856,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,About right,Too little,Too little,Don't know,Too little,Not applicable,Not applicable,Not applicable,857,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,Too little,Too little,About right,About right,Too little,Too little,About right,About right,Too little,858,Too much,Too little,Too little,Too little,Too little,About right,Too little,Ballot c
2016,Not applicable,Too much,Too little,Too much,Too much,Too little,Too much,About right,Not applicable,Not applicable,Not applicable,859,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,Too little,Too little,About right,About right,About right,About right,Too little,Too much,About right,Too little,860,Too little,Too little,Too little,Too much,Too little,Too little,Too little,Ballot c
2016,Not applicable,About right,About right,About right,About right,About right,Too little,About right,Not applicable,Not applicable,Not applicable,861,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,862,About right,Too little,Too little,About right,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,Too little,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,863,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,About right,Too little,About right,Too little,Too little,Too little,Too little,About right,Too much,Too little,864,Too little,Too little,Too little,Too much,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too little,Too much,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,865,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,About right,About right,About right,About right,Too little,Too little,Too much,Too much,About right,866,About right,Too little,Too little,About right,About right,Too little,About right,Ballot c
2016,About right,About right,About right,Too little,About right,Too little,About right,About right,Too much,Too much,Too little,867,Too much,Too little,Too little,Too little,About right,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,868,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Don't know,Too little,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,869,Too much,About right,Don't know,Don't know,Too little,Don't know,Don't know,Ballot b
2016,About right,About right,About right,Too little,About right,Too much,About right,About right,Too much,Too much,About right,870,Too little,Too little,About right,Too much,About right,Too little,Too little,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,871,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too much,Too little,About right,About right,Too little,Too little,Too much,Too much,Too much,Too little,872,Too much,Too little,Too little,Too little,Too much,Too little,Too little,Ballot b
2016,Not applicable,About right,Too little,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,873,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,About right,Too little,About right,Too little,Too little,Too little,Too little,Too much,About right,About right,874,About right,Too little,Too little,Too little,About right,Too little,Too little,Ballot c
2016,Not applicable,Too much,Too little,Too little,Too little,Too little,Too much,Too little,Not applicable,Not applicable,Not applicable,875,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,About right,Too little,About right,Too little,About right,About right,Too little,About right,Too little,About right,876,Too much,About right,About right,About right,Too little,Too little,About right,Ballot b
2016,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too much,Too little,877,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,Too little,Too little,About right,About right,Too little,About right,Not applicable,Not applicable,Not applicable,878,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,About right,About right,Too little,About right,Too little,About right,Too little,About right,About right,About right,879,About right,Too little,Too little,About right,About right,About right,Too little,Ballot a
2016,About right,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too much,Too much,Too little,880,Too little,Too little,Too little,About right,Too little,About right,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,881,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,882,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,Too little,Too little,Too little,About right,Too little,About right,Too little,About right,About right,Too little,883,Too little,Too little,About right,Too little,About right,Too little,Too little,Ballot a
2016,About right,About right,Too little,About right,About right,Too little,About right,Too much,Too much,About right,About right,884,About right,About right,Too little,Too little,Too little,About right,About right,Ballot c
2016,About right,About right,About right,About right,About right,About right,About right,Too little,About right,About right,Too little,885,About right,Too little,Too little,About right,Too little,Too little,About right,Ballot a
2016,Not applicable,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Not applicable,Not applicable,Not applicable,886,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,About right,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,887,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,Too little,About right,About right,About right,Too little,Too little,About right,Too much,About right,Too little,888,About right,Too little,Too little,About right,About right,About right,Too little,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,889,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Don't know,Too little,Too little,890,Don't know,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Too little,Too little,About right,About right,About right,Too little,Too little,Too little,About right,Too much,Too little,891,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too little,About right,Too little,Too much,About right,Not applicable,Not applicable,Not applicable,892,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,Too little,Too little,About right,About right,Too little,About right,About right,About right,About right,Too little,893,Too little,Too little,About right,About right,About right,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,Too much,Too little,Too little,Don't know,Too little,Not applicable,Not applicable,Not applicable,894,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,About right,About right,About right,About right,Too little,Too little,Too little,Too much,Too little,About right,895,About right,Too little,Too little,About right,Too little,About right,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,896,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,About right,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,897,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,Too little,About right,Too much,About right,About right,Too little,About right,About right,Too little,About right,898,About right,Too much,About right,About right,Too little,About right,About right,Ballot b
2016,Not applicable,About right,About right,Too little,Too little,About right,About right,Too little,Not applicable,Not applicable,Not applicable,899,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,900,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,Too little,About right,Too little,Too little,About right,Too little,Too little,Too much,Too much,About right,901,Too little,Too little,Too little,Too little,About right,Too little,Too little,Ballot a
2016,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,902,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Ballot b
2016,Not applicable,Too much,Too little,About right,Too little,Too much,Too little,Too little,Not applicable,Not applicable,Not applicable,903,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too much,Don't know,About right,Too little,Too little,Too little,Too little,Don't know,Too much,Don't know,904,Don't know,Too little,Too little,Don't know,Too little,Too little,Too little,Ballot c
2016,Not applicable,About right,Don't know,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,905,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Don't know,About right,Too little,Too much,About right,Too little,Don't know,Don't know,Don't know,About right,Don't know,906,Don't know,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,About right,Too little,Too little,Too little,About right,Too little,About right,Not applicable,Not applicable,Not applicable,907,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,Too little,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,908,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,About right,About right,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,909,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,About right,Too little,About right,About right,Too little,About right,Too little,Too much,Too much,Too little,910,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Too much,About right,Too little,About right,About right,Don't know,About right,About right,Don't know,Too little,About right,911,About right,About right,Too little,About right,About right,Too little,Too little,Ballot c
2016,Not applicable,About right,About right,About right,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,912,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,About right,Too little,About right,Too little,Too little,About right,Too little,About right,About right,About right,913,About right,Too little,Too little,Too little,About right,Too little,Too little,Ballot a
2016,About right,About right,Too little,About right,About right,About right,About right,About right,About right,About right,About right,914,Too much,Too little,Too little,Don't know,About right,About right,About right,Ballot b
2016,Not applicable,Too little,About right,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,915,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,Too little,About right,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,916,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,About right,Too little,Too little,Too little,Too little,About right,Too much,About right,About right,917,About right,Too little,Too little,About right,Too little,Too little,Too little,Ballot b
2016,Too much,About right,Too much,About right,Too little,Too much,About right,About right,Too much,Too little,About right,918,Too much,About right,Too little,Too little,Too much,Too little,Too little,Ballot c
2016,Not applicable,Too little,Too little,About right,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,919,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,920,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,Too little,About right,About right,Too little,About right,Too much,Not applicable,Not applicable,Not applicable,921,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,About right,Too little,About right,About right,Too little,About right,Too little,About right,Too little,About right,922,About right,Too little,Too little,About right,Too little,About right,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,923,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,Too little,About right,Too little,Too little,Don't know,Too little,Not applicable,Not applicable,Not applicable,924,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,Too much,About right,About right,925,Too much,About right,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,About right,About right,About right,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,926,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,About right,Too little,About right,About right,About right,About right,Too little,Too much,Too little,Too little,927,About right,Too little,Too little,About right,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,Too little,Too little,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,928,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too much,Too much,About right,About right,Too much,About right,About right,Not applicable,Not applicable,Not applicable,929,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,Too little,About right,About right,Don't know,About right,Too little,Not applicable,Not applicable,Not applicable,930,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,About right,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,931,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,About right,Too little,Too little,Too little,Too little,Too much,About right,About right,Too much,Too little,932,About right,Too little,Too little,Too little,Too little,Too little,About right,Ballot b
2016,About right,About right,About right,About right,About right,Too little,Too much,About right,About right,Too much,About right,933,Too much,Too little,About right,About right,Too little,Too little,Too little,Ballot c
2016,Too little,About right,Too little,About right,About right,Too little,About right,About right,Too much,Too much,About right,934,About right,Too little,About right,Too little,About right,About right,Too little,Ballot a
2016,Not applicable,About right,Too little,About right,About right,Too little,About right,About right,Not applicable,Not applicable,Not applicable,935,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too little,Too little,Too much,About right,Too little,Too little,Too little,Too much,Too much,About right,936,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,About right,About right,Too little,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,937,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,About right,About right,Too little,Too little,Don't know,Too little,Too much,Too much,Too little,Don't know,938,Don't know,Too little,Too little,Don't know,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too much,Too little,About right,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,939,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,Too much,Don't know,About right,Don't know,Don't know,Don't know,Not applicable,Not applicable,Not applicable,940,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Don't know,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too much,Too little,941,Don't know,About right,Don't know,About right,Too much,Too much,Too little,Ballot a
2016,Not applicable,About right,Too much,Don't know,Too much,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,942,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Don't know,Too much,About right,943,About right,Too little,Too little,Too little,About right,Too little,Too little,Ballot c
2016,Not applicable,Too little,Too little,About right,About right,Too little,Too much,About right,Not applicable,Not applicable,Not applicable,944,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too much,Too little,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,945,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too much,Too little,Too little,Too little,Too little,Too much,Too much,Not applicable,Not applicable,Not applicable,946,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,About right,Too little,About right,About right,About right,Too little,Too little,About right,About right,No answer,947,Too little,Too little,About right,About right,About right,About right,Too little,Ballot c
2016,Not applicable,About right,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,948,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,Too little,About right,Too little,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,949,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too much,Too much,Too little,Too much,Too little,Too much,Too much,Not applicable,Not applicable,Not applicable,950,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,951,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too much,About right,About right,About right,Too little,Don't know,Don't know,Not applicable,Not applicable,Not applicable,952,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,Too much,Too little,Too much,Too much,About right,About right,Too little,Too much,Too much,Too much,953,About right,About right,Too little,Too little,Too much,Too much,About right,Ballot c
2016,Too much,About right,Too little,Too much,About right,Too little,Too little,Too little,Too much,Too much,Too little,954,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,955,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,Too little,Too little,About right,Too little,About right,Too little,Too little,About right,Too little,Too little,956,Too much,About right,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,Not applicable,Too little,Too little,About right,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,957,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,Too little,Too little,About right,Too little,Too much,Too little,Too much,Too much,Too little,958,Too much,Too little,Too little,Too little,Too much,Too little,Too little,Ballot c
2016,Not applicable,About right,About right,About right,About right,Don't know,About right,Too little,Not applicable,Not applicable,Not applicable,959,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,960,Don't know,Too little,Too little,Don't know,Don't know,Don't know,Don't know,Ballot a
2016,Not applicable,Too much,About right,Too much,About right,Too little,Don't know,Too little,Not applicable,Not applicable,Not applicable,961,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,About right,About right,Too much,Too little,About right,Don't know,Not applicable,Not applicable,Not applicable,962,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,963,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,Too little,About right,Too much,About right,Too little,Too little,Too much,Too little,Too much,964,About right,About right,Too much,Too much,About right,Too much,Too little,Ballot a
2016,Not applicable,Too little,About right,Too much,Too much,Too little,About right,Too much,Not applicable,Not applicable,Not applicable,965,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,About right,Too much,About right,Too little,Too little,Too little,Too little,Too much,Too much,Too much,966,Too little,Too little,Too little,Too much,Too much,Too much,Too little,Ballot b
2016,Not applicable,About right,Too much,Too much,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,967,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,Too little,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,968,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,About right,Too little,Too little,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,969,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,About right,Too little,About right,About right,Too little,Not applicable,Not applicable,Not applicable,970,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,About right,Too little,About right,Too little,About right,About right,Too little,About right,Too much,Too little,971,About right,Too little,Too little,About right,Too little,About right,Too little,Ballot c
2016,Not applicable,Too little,Too little,About right,Too much,Too little,About right,Too much,Not applicable,Not applicable,Not applicable,972,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,Too much,Too little,Too little,Too much,Too little,Not applicable,Not applicable,Not applicable,973,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,About right,Too little,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,974,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Don't know,Too little,Too little,About right,About right,Don't know,About right,Too little,Too little,Too much,About right,975,About right,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,About right,Too little,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,976,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too little,Too little,About right,Too little,Too little,About right,Too little,About right,Too little,Too little,977,About right,Too little,Too little,Too little,Too little,About right,About right,Ballot b
2016,Not applicable,Too little,Too little,About right,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,978,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,About right,About right,About right,Too much,About right,Too much,Too much,Too much,Too much,Too much,979,Too much,About right,About right,Too much,About right,Too little,About right,Ballot a
2016,Not applicable,Too little,Too little,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,980,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
