text,topic
"An act to amend Section 14083 of the Welfare and Institutions Code, relating to Medi-Cal.",Health
"An act to amend Sections 10631 and 10633 of the Water Code, relating to water.",Public Services
"An act to amend Section 204 of the Labor Code, relating to employment.",Labor and Employment
"An act to amend Section 25214.10.1 of the Health and Safety Code, relating to hazardous waste.",Environmental
"An act to amend Section 14126.023 of the Welfare and Institutions Code, relating to Medi-Cal.",Health
"An act to amend Section 35414 of the Vehicle Code, relating to vehicles.",Transportation
"An act to amend Section 1797.98a of the Health and Safety Code, relating to emergency medical services.",Public Services
"An act to add Section 2290.6 to the Business and Professions Code, relating to healing arts.",Health
"An act to add Section 11250.5 to the Welfare and Institutions Code, relating to public social services.",Public Services
"An act to add Chapter 5 (commencing with Section 33700) to Part 20 of Division 2 of Title 2 of the Education Code, relating to education.",Education
"An act to amend Section 234 of the Public Utilities Code, relating to telecommunications.",Technology and Communication
"An act to amend Section 2762 of the Fish and Game Code, relating to fisheries.",Agriculture and Food
"An act to amend Sections 17052.12 and 23609 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.","Budget, Spending, and Taxes"
An act relating to civil actions.,Legal Issues
"An act to amend Sections 1635, 1644, and 1644.5 of the Health and Safety Code, relating to tissue donation, and declaring the urgency thereof, to take effect immediately.",Health
An act relating to public health.,Agriculture and Food
"An act to amend Sections 25354.5 and 25400.16 of the Health and Safety Code, relating to hazardous materials.",Environmental
"An act to amend Sections 15375, 15501, 15503, and 15505 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to add Section 318.1 to the Corporations Code, relating to corporations.",Business and Consumers
"An act to add Section 23126 to the Vehicle Code, relating to vehicles.",Transportation
"An act to amend Section 25503.6 of the Business and Professions Code, relating to alcoholic beverages.",Commerce
"An act to amend Section 11122.5 of the Government Code, relating to public meetings.",State Agencies
An act relating to postsecondary education.,Education
"An act to amend Section 1016.5 of the Penal Code, relating to criminal procedure.",Judiciary
"An act to add and repeal Section 6398 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Commerce
"An act to amend Section 21655.9 of, to amend and repeal Section 40000.13 of, and to add and repeal Section 5205.5 of, the Vehicle Code, relating to vehicles.",Transportation
"An act to add Article 2.5 (commencing with Section 11570) to Chapter 6 of Part 1 of Division 3 of Title 2 of the Government Code, relating to boards and commissions.",Labor and Employment
"An act to amend Sections 4512, 4513, and 4551 of, and to add Section 4512.5 to, the Public Resources Code, relating to forest resources.",Environmental
"An act to amend Section 319 of the Penal Code, relating to gambling.",Gambling and Gaming
"An act to add and repeal Section 17203.6 of the Government Code, relating to state funds, and declaring the urgency thereof, to take effect immediately.",State Agencies
"An act to amend Section 850 of the Military and Veterans Code, relating to veterans.",Military
"An act to amend Section 51101.1 of the Education Code, relating to public schools.",Education
"An act to add Chapter 3.5 (commencing with Section 110286) to Part 5 of Division 104 of the Health and Safety Code, relating to food and drug safety.",Agriculture and Food
"An act to amend Sections 5093.34, 5093.35, and 5093.39 of the Public Resources Code, relating to state lands.",Environmental
"An act to amend Section 1054.3 of the Penal Code, relating to criminal procedure.",Judiciary
"An act to add Section 56510 to the Education Code, relating to special education.",Education
"An act to amend Section 3010 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to add Section 9012.5 to, and to repeal Section 9653 of, the Welfare and Institutions Code, relating to senior wellness.",Senior Issues
"An act to add Chapter 6.6 (commencing with Section 5809.1) to Division 5 of the Public Resources Code, relating to watersheds.",Environmental
"An act to add Section 1359.1 to the Health and Safety Code, and to add Section 10119.4 to the Insurance Code, relating to health care coverage.",Health
"An act to add Sections 6376.3 and 6376.4 to the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Commerce
"An act to amend Sections 1630 and 1632 of, to add Sections 1632.1 and 1632.6 to, and to repeal Section 1631 of, the Business and Professions Code, relating to dentistry.",Health
"An act to amend Section 15620 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Section 44283 of, and to add Sections 39626.1 and 44287.2 to, the Health and Safety Code, relating to air pollution.",Environmental
"An act to amend Section 2107 of, and to add Article 4.5 (commencing with Section 2170) to Chapter 2 of Division 2 of, the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to add Chapter 4.2 (commencing with Section 829.5) to Title 3 of Part 2 of the Penal Code, relating to code enforcement officers, and declaring the urgency thereof, to take effect immediately.",Legal Issues
"An act to add Section 7192 to the Business and Professions Code, relating to contractors.",Labor and Employment
"An act to amend Sections 101, 149, 205, 2220.5, 2530.2, 2531, 2531.2, 2534, 2534.2, 3300, 3306, 3307, 3320.1, 3326, 3327, 3327.5, 3328, 3329, 3350, 3352, 3353, 3354, 3356, 3357, 3358, 3360, 3362, 3364, 3400, 3401, 3402, 3403, 3404, 3421, 3422, 3423, 3424, 3426, 3430, 3451, 3452, 3454, 3455, and 3456 of, to add Sections 2531.06 and 3322 to, to add Article 9 (commencing with Section 2539.1) to Chapter 5.3 of Division 2 of, to repeal Sections 3321, 3325, and 3330 of, and to repeal and add Sections 2531.05 and 3320 of, the Business and Professions Code, relating to hearing aids.",Health
"An act to amend Section 1269a of the Penal Code, relating to bail.",Crime
An act relating to building standards.,Housing and Property
"An act to amend Sections 16118 and 16119 of, and to add Section 16132 to, the Welfare and Institutions Code, relating to adoption assistance.","Federal, State, and Local Relations"
"An act to amend Section 6276.24 of the Government Code, to amend Sections 1250, 1344, 1366.4, 1374.64, 1375.4, 1376.1, 1377, 1399, 116283, 116286, 116380, 116540, 116650, 116725, 121360.5, 127662, 127664, 127665, 128730, and 128745 of, and to add Sections 116451 and 116552 to, the Health and Safety Code, and to amend Sections 14043.26, 14043.28, 14043.29, and 14115.8 of the Welfare and Institutions Code, relating to health.",Health
"An act to amend Sections 1357 and 1357.50 of the Health and Safety Code, and to amend Sections 10198.6 and 10700 of the Insurance Code, relating to health care coverage.",Health
"An act to add Chapter 3.5 (commencing with Section 24300) to Division 20 of the Health and Safety Code, relating to medical homes, and declaring the urgency thereof, to take effect immediately.",Health
"An act to amend Sections 1358.4, 1358.6, 1358.8, 1358.9, 1358.11, 1358.12, 1358.13, 1358.17, 1358.18, and 1358.20 of, and to add Sections 1358.81, 1358.91, and 1358.24 to, the Health and Safety Code, and to amend Sections 785, 10192.4, 10192.6, 10192.8, 10192.9, 10192.11, 10192.12, 10192.13, 10192.17, 10192.18, 10192.20 of, and to add Sections 10192.81, 10192.91, and 10192.24 to, the Insurance Code, relating to health care coverage, and declaring the urgency thereof, to take effect immediately.",Health
"An act to amend Sections 16361 and 16374 of, and to add Section 16361.1 to, the Probate Code, relating to the Uniform Principal and Income Act.",Business and Consumers
"An act to amend Sections 6069, 6248, 7339, 60003, 60501, and 60508 of, to add Sections 7339.1, 55041.1, and 60003.1 to, and to repeal Sections 60508.1, 60508.2, 60508.4, and 60509 of, the Revenue and Taxation Code, relating to taxation.",State Agencies
"An act to add Section 33043.5 to the Financial Code, relating to payment instruments.",Other
"An act to amend Sections 697.530, 697.590, and 700.140 of the Code of Civil Procedure, relating to judgment liens.",Judiciary
"An act to amend Section 53760 of, and to add Sections 8860, 8861, 8862, 8863, 8864, 8865, and 53760.5 to, the Government Code, relating to local government.",Municipal and County Issues
"An act to amend Section 80130 of the Water Code, relating to electricity.",Military
"An act to add Section 13142.6 to the Water Code, relating to water.",Environmental
"An act to amend Sections 50826 and 50832.1 of the Health and Safety Code, relating to community development.",Other
"An act to amend Sections 7560, 7562, and 7563 of the Government Code, relating to state government.",Campaign Finance and Election Issues
"An act to add Sections 15571 and 15572 to, and to repeal and add Section 15570 of, the Government Code, relating to economic development, and declaring the urgency thereof, to take effect immediately.",State Agencies
"An act to amend Section 51225.3 of the Education Code, relating to high school curriculum.",Education
"An act to add Section 612 to the Unemployment Insurance Code, relating to employment.",Labor and Employment
"An act to amend Section 6325 of, and to add Section 6333 to, the Labor Code, relating to employment.",Health
"An act to amend Section 2929 of the Labor Code, relating to employment.",Labor and Employment
"An act to add Section 2825 to the Labor Code, relating to employment.",Labor and Employment
"An act to amend Section 4406 of the Commercial Code, relating to financial institutions.",Commerce
"An act to amend Section 10205 of the Unemployment Insurance Code, relating to the employment training panel.",Labor and Employment
"An act to add Article 8.3 (commencing with Section 999.90) to Chapter 6 of Division 4 of the Military and Veterans Code, relating to military and veterans.",Military
"An act to amend Section 69 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Housing and Property
"An act to amend Section 1363.03 of the Civil Code, to amend Sections 354.5, 13107.3, 13307, and 14225 of the Elections Code, and to amend Section 22970.20 of the Water Code, relating to voting.",Campaign Finance and Election Issues
"An act to amend Sections 13314 and 15104 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Sections 9162, 9286, and 10229 of the Elections Code, and to amend Section 4716 of the Health and Safety Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Sections 19510, 19513, 19605.7, 19605.71, 19605.9, and 19606.3 of the Business and Professions Code, relating to horse racing, and making an appropriation therefor.",Recreation
"An act to add Section 12012.54 to the Government Code, relating to gaming, and declaring the urgency thereof, to take effect immediately.",Gambling and Gaming
"An act to amend Section 4369.2 of the Welfare and Institutions Code, relating to problem gambling.",Health
"An act to amend Sections 19614.4, 19617, and 19617.2 of the Business and Professions Code, relating to horse racing.",Recreation
"An act to amend Section 24044.5 of the Business and Professions Code, relating to alcoholic beverages.",Legal Issues
"An act to amend Section 21628 of the Business and Professions Code, relating to secondhand goods.",Business and Consumers
"An act to amend Sections 17008.5, 17020.6, 17024.5, 17041, 17052.12, 17062, 17063, 17072, 17085, 17132.5, 17144.5, 17152, 17206, 17250, 17250.5, 17255, 17275.5, 17276, 17501, 17551, 17952.5, 18165, 18180, 18631, 19116, 19131, 19134, 19164, 19166, 19172, 19179, 19443, 21015.5, 23045, 23051.5, 23456, 23609, 23712, 23732, 23772, 24305, 24356, 24357, 24357.1, 24357.7, 24358, 24416, 24949.5, 24990.6, and 24993 of, to add Sections 17020.15, 17132.8, 17204, 17225, 17257, 17257.2, 17257.4, 17275.2, 17275.3, 17279.6, 17560.5, 17681.3, 17755, 18031.5, 18037.5, 18151.5, 18155.6, 19165, 19172.5, 19185, 19186, 23046.5, 23703.7, 24329, 24349.2, 24462, 24831.3, 24941.5, 24950.5, 24990.2, and 24990.8 to, and to repeal Sections 24355.3, 24981, and 24988 of, the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.","Federal, State, and Local Relations"
"An act to amend Section 21083.9, and to add and repeal Sections 21080.27 of, of the Public Resources Code, relating to the environment.",Environmental
"An act to amend Sections 56426.5, 56663, 57051, 57052, 57116, and 57150 of, and to amend and renumber Section 56426.5 of, the Government Code, relating to local agencies.",Municipal and County Issues
"An act to amend Sections 41510, 41511, and 41512 of the Education Code, relating to education finance.",Education
"An act to amend Sections 9795 and 10242.5 of, and to add Section 10231.5 to, the Government Code, relating to state agency reports, and declaring the urgency thereof, to take effect immediately.",State Agencies
"An act to add Section 28767.8 to the Public Utilities Code, relating to transportation.",Military
"3879, 3880, 3881, 3882, 3883, 3884, 3885, 3886, 3887, 3888, 3889, 3890, 3891, 3892, 3893, 3894, 3895, 3896, 3897, 3898, 3899, 3900, 3901, 3901.5, 3902, 3903, 3904, and 4509 of, the Food and Agricultural Code, relating to fairs, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Recreation
"An act to amend Section 2923.5 of, and to add Article 1.7 (commencing with Section 2946) to Chapter 2 of Title 14 of Part 4 of Division 3 of the Civil Code, relating to mortgage defaults, and declaring the urgency thereof, to take effect immediately.",Housing and Property
"An act to add Section 4626.1 to, and to add Division 4.8 (commencing with Section 4910) to, the Welfare and Institutions Code, relating to developmental services.",Business and Consumers
"An act to add Section 123612 to the Health and Safety Code, relating to perinatal health care, and making an appropriation therefor.",Health
"An act to amend Sections 215 and 225.5 of, and to add Section 212.5 to, the Labor Code, relating to wages.",Labor and Employment
"An act to amend Sections 19999.3, 21353, 21354.1, 21363.1, 21363.4, and 21369.1 of, and to add Sections 19829.7, 19829.8, 19829.9, 19829.95, 20037.14, 20677.6, 20677.7, 20677.9, 20677.95, and 21369.2 to, the Government Code, relating to state employees, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Labor and Employment
"An act to amend Section 14043.46 of the Welfare and Institutions Code, relating to adult day health care centers.",Health
"An act to add Chapter 1.5 (commencing with Section 115) to Division 1 of the Water Code, relating to the Sacramento-San Joaquin Delta.",Environmental
"An act to add Section 14005.60 to the Welfare and Institutions Code, relating to Medi-Cal.",Health
"An act to add Section 25622 to the Business and Professions Code, relating to alcoholic beverages.",Legal Issues
"An act to add Article 5.5 (commencing with Section 14183) to Chapter 7 of Part 3 of Division 9 of the Welfare and Institutions Code, relating to Medi-Cal.",Health
"An act to amend Sections 667.1, 667.5, and 1192.7 of the Penal Code, relating to human trafficking, and declaring the urgency thereof, to take effect immediately.",Crime
"An act to amend Sections 128385 and 128390 of the Health and Safety Code, relating to nurses.",Education
"An act to add Section 22856 to the Government Code, to add Section 1374.74 to the Health and Safety Code, and to add Section 10144.8 to the Insurance Code, relating to health care coverage.",Health
"An act to add Part 21 (commencing with Section 42001) to Division 2 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.","Budget, Spending, and Taxes"
"An act to add and repeal Section 17303.5 of the Education Code, relating to school facilities.",Education
"An act to amend Section 487i of the Penal Code, relating to crimes.",Housing and Property
"An act to amend Section 1872.81 of the Insurance Code, relating to motor vehicle insurance.",Transportation
"An act to amend Sections 601 and 1501 of the Corporations Code, relating to corporations.",Business and Consumers
"urgency thereof, to take effect immediately.",Education
"the Statutes of 2009, relating to human services, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Public Services
"Session of the Statutes of 2009, relating to health, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Health
"An act to amend Sections 8879.52, 8879.61, 8879.65, and 14556.7 of the Government Code, to amend Sections 185024 and 185035 of, and to add Section 185032.1 to, the Public Utilities Code, to amend Sections 167 and 2103 of, and to add Article 4.6 (commencing with Section 172) to Chapter 1 of Division 1 of, the Streets and Highways Code, and to amend Sections 2413, 2814.1, and 12811 of, and to add Section 2814.2 to, the Vehicle Code, relating to transportation, and declaring the urgency thereof, to take effect immediately.",Transportation
"An act to amend Sections 25173.6, 25187, 25214.3, and 25215.7 of, and to add Sections 44272.3 and 44272.7 to, the Health and Safety Code, to amend Sections 4137, 4142, 14560, 14581, 25421, 25449.4, 25461, 25806, and 48004 of, to amend, repeal, and add Section 71305 of, to add Sections 4124, 5016.2, 14556, and 25464 to, and to add and repeal Section 3402.3 of, the Public Resources Code, to add Sections 13628.5 and 85214 to the Water Code, and to amend Section 1 of Chapter 384 of the Statutes of 2009, relating to resources, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.","Budget, Spending, and Taxes"
"4.7 of Division 3 of Title 2 of, the Government Code, to amend Section 50199.9 of the Health and Safety Code, to amend Sections 62.9, 1771.3, 1771.5, 1771.7, 1771.75, 1771.8, and 1777.5 of the Labor Code, to add Section 11105.8 to the Penal Code, to amend Section 5164 of the Public Resources Code, to amend Sections 11006 and 19558 of the Revenue and Taxation Code, to amend Sections 1088, 1112.5, 1113.1, 1275, 13021, and 13050 of, and to add Article 9 (commencing with Section 1900) to Chapter 7 of Part 1 of Division 1 of, the Unemployment Insurance Code, to amend Section 1673.2 of the Vehicle Code, and to amend and supplement the Budget Act of 2009 (Chapter 1 of the 2009Ã¢â‚¬""10 Third Extraordinary Session) by amending Item 0820-001-3086 of Section 2.00 of that act, relating to state government, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",State Agencies
"An act to amend, repeal, and add Section 6322.1 of the Business and Professions Code, to add and repeal Section 367.6 of the Code of Civil Procedure, to amend Sections 12419.10, 25257, 25258, 25259, 70372, 76000, and 77206 of, to amend and repeal Section 70602 of, to amend, repeal, and add Sections 70603 and 70617 of, to add Sections 25259.7, 25259.8, 25259.9, 25259.95, 68106, and 72010 to, and to add and repeal Sections 68526, 70371.9, 70602.5, and 76000.3 of, and to add, repeal, and add Section 72011 to the Government Code, to amend Sections 1214 and 1463.02 of, and to amend, repeal, and add Sections 1463.007 and 1465.8 of, the Penal Code, and to amend Sections 40510.5 and 42007 of, and to add Section 42008.7 to, the Vehicle Code, relating to courts, and declaring the urgency thereof, to take effect immediately.",Judiciary
"An act relating to elections, and declaring the urgency thereof, to take effect immediately.",Campaign Finance and Election Issues
An act relating to the Budget Act of 2010.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2010.,"Budget, Spending, and Taxes"
"An act to amend Section 22954 of the Education Code, and to add and repeal Sections 16327 and 16327.5 of the Government Code, relating to state finance, and declaring the urgency thereof, to take effect immediately.","Budget, Spending, and Taxes"
An act relating to the Budget Act of 2010.,"Budget, Spending, and Taxes"
"An act to add Section 1367.27 to the Health and Safety Code, and to add Section 10123.197 to the Insurance Code, relating to health care coverage.",Health
"An act to add Section 44559.11 to the Health and Safety Code, relating to economic development, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Commerce
"An act making appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, and declaring the urgency thereof, to take effect immediately.","Budget, Spending, and Taxes"
An act relating to the Budget Act of 2010.,"Budget, Spending, and Taxes"
An act relating to the Budget Act of 2010.,"Budget, Spending, and Taxes"
"An act making appropriations for the support of the government of the State of California and for several public purposes in accordance with the provisions of Section 12 of Article IV of the Constitution of the State of California, and declaring the urgency thereof, to take effect immediately.","Budget, Spending, and Taxes"
An act relating to the Budget Act of 2010.,"Budget, Spending, and Taxes"
"An act to add Section 35031.5 to the Education Code, relating to school districts.",Education
"An act to add Section 104152 to the Health and Safety Code, and to amend Section 30461.6 of the Revenue and Taxation Code, relating to cancer screening.",Health
"An act to amend Section 25608 of the Business and Professions Code, relating to alcoholic beverages, and declaring the urgency thereof, to take effect immediately.",Legal Issues
"An act to amend Sections 35179.1 and 49032 of the Education Code, relating to training for high school coaches.",Education
"An act to amend Sections 23015, 23358, 23358.2, and 23390.5 of the Business and Professions Code, relating to alcoholic beverages.",Agriculture and Food
"An act to amend Section 18000 of the Business and Professions Code, and to amend Section 14013 of, and to add Sections 14001 and 14013.2 to, the Unemployment Insurance Code, relating to microenterprises.",Commerce
"An act to add Chapter 2.7 (commencing with Section 2200) to Part 1 of Division 2 of the Public Contract Code, relating to public contracts.",Labor and Employment
"An act to amend Section 38004 of the Education Code, and to amend Section 165 of the Vehicle Code, relating to school districts.",Public Services
"An act to add and repeal Sections 369.6 and 739.6 of the Welfare and Institutions Code, relating to dependent children.",Health
"An act to add Title 1.1B (commencing with Section 1739.80) to Part 4 of Division 3 of the Civil Code, relating to fur products.",Animal Rights and Wildlife Issues
"An act to add Section 7073.2 to the Government Code, relating to economic development.",Commerce
"An act to add Article 7.5 (commencing with Section 9147.7) to Chapter 1.5 of Part 1 of Division 2 of Title 2 of the Government Code, relating to state government.",State Agencies
"An act to amend, repeal, and add Sections 525 and 526 of, and to add and repeal Section 526.1 of, the Harbors and Navigation Code, relating to vessels.",Transportation
"An act to amend Section 21662.4 of the Public Utilities Code, relating to airports.",Transportation
"An act to add Sections 195.167, 195.168, 195.169, 218.4, 17207.6, and 24347.9 to the Revenue and Taxation Code, relating to disaster relief, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Public Services
"An act to repeal Section 12318 of, and to repeal Article 3.5 (commencing with Section 12060) of Chapter 1 of Title 2 of Part 4 of, the Penal Code, relating to ammunition.",Guns
"An act to amend Section 3543.2 of the Government Code, relating to school employees.",Education
"An act to amend Sections 31479.1, 34873, 34875, 34900, 34901, 34902, 36508, 36511, 36512, 36515, 36516.1, 36516.5, 36804, 36811, 50271, 57377, 57379, and 65063.7 of the Government Code, and to amend Sections 40225 and 40326 of the Health and Safety Code, relating to local government.",Municipal and County Issues
"An act to add, repeal, and add Article 4 (commencing with Section 789) of Chapter 2.5 of Division 1 of the Public Resources Code, relating to forestry and fire protection.",Environmental
"An act to amend Section 51225.3 of the Education Code, relating to high school graduation.",Education
"An act to amend Sections 382 and 430 of the Streets and Highways Code, relating to highways.",Transportation
"An act to amend Section 25060 of the Government Code, relating to county government.",Municipal and County Issues
"An act to amend Section 39511 of, to add Section 39510.5 to, and to amend, repeal, and add Section 39510 of, the Health and Safety Code, relating to the State Air Resources Board.",Campaign Finance and Election Issues
"An act to add Section 52526 to the Education Code, relating to adult education.",Education
"An act to add Section 1065 to the Government Code, relating to elected officials, and declaring the urgency thereof, to take effect immediately.",Campaign Finance and Election Issues
An act relating to public safety.,Resolutions
"An act to amend Sections 781 and 827 of the Welfare and Institutions Code, relating to juveniles.",Family and Children Issues
"An act to add and repeal Section 4001 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Sections 12000 and 12001 of the Education Code, relating to education.",Education
"An act to amend Section 325 of the Code of Civil Procedure, relating to civil actions.",Legal Issues
"An act to add Section 40440.15 to the Health and Safety Code, relating to air pollution.",Energy
"An act to add and repeal Section 6018.9 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.","Budget, Spending, and Taxes"
"An act to amend Section 290 of the Penal Code, relating to sex offenders.",Crime
"An act to amend Sections 6002, 6003, 6020, 6023, 6024, 6041, 6042, 6080, 6082, 6101, 6105, 6108, 6122, 6145, 6160, 6180, 6240, 6241, and 6950 of, to repeal Sections 6004, 6005, 6021, 6086, 6087, and 6100 of, to add and repeal Section 7110 of, and to repeal Article 11 (commencing with Section 6200) of Chapter 1 of Part 1 of Division 6 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Section 121060 of the Health and Safety Code, relating to communicable disease.",Health
"An act to add Sections 195.164, 195.165, 195.166, 218.2, 17207.2, and 24347.7 to the Revenue and Taxation Code, relating to disaster relief, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Public Services
"An act to amend Section 11062 of the Penal Code, relating to law enforcement.",Crime
"An act to amend Section 13332.18 of, and to add Section 13332.185 to, the Government Code, relating to the General Fund.",Other
"An act to amend Sections 18929.1, 18934.8, and 18942 of the Health and Safety Code, relating to building standards.",Housing and Property
"An act to add Division 10.56 (commencing with Section 11972.10) to the Health and Safety Code, relating to alcohol abuse programs, and making an appropriation therefor.",Other
"An act to amend Section 4703.5 of the Labor Code, relating to workersÃ¢â‚¬â„¢ compensation.",Legal Issues
"An act to amend Section 68085 of the Government Code, and to amend Section 1465.8 of the Penal Code, relating to courts.",Judiciary
"An act to amend Section 49024 of the Education Code, relating to school volunteers.",Education
"An act to amend, repeal, and add Section 273 of the Code of Civil Procedure, relating to court reporters.",Judiciary
"An act to amend Sections 6051.7, 6201.7, 10752, 10752.1, 17041, 17054, and 17062 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Transportation
"An act to amend Section 4145 of the Business and Professions Code, and to amend Section 11364 of the Health and Safety Code, relating to public health.",Health
"An act to amend Section 84810.5 of the Education Code, relating to community colleges.",Education
"An act to amend Section 21080.21 of the Public Resources Code, relating to the environment.",Environmental
"An act to add Sections 17131.3 and 24303 to the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Energy
"An act to repeal and add Section 53395.8 of the Government Code, and to amend Section 96.1 of the Revenue and Taxation Code, relating to infrastructure financing districts, and declaring the urgency thereof, to take effect immediately.",Municipal and County Issues
"An act to amend Section 3075.1 of the Labor Code, relating to employment.",Labor and Employment
"An act to amend Section 1765.1 of the Insurance Code, relating to insurance.",Insurance
"An act to add Section 654.3 to the Business and Professions Code, and to add Section 1395.7 to the Health and Safety Code, relating to dental services.",Health
"An act to amend Section 1202.4 of the Penal Code, relating to victims.",Crime
"An act to amend Section 25200 of the Public Resources Code, relating to energy.",Energy
"An act to add Sections 45211 and 88211 to the Education Code, relating to school employees.",Labor and Employment
"An act to amend Sections 48800, 76002, and 84760.5 of, and to repeal Section 10701 of, the Education Code, relating to public education.",Education
"An act relating to the payment of claims against the state, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Legal Issues
"An act relating to state claims, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",State Agencies
"An act to amend Section 65995.7 of the Government Code, relating to land use.",Other
"An act to add Section 13300.7 to the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Section 53684 of the Government Code, and to add Part 10.6 (commencing with Section 20800) to Division 2 of the Revenue and Taxation Code, relating to taxation.",Housing and Property
"An act to add and repeal Section 6377 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Commerce
"An act to amend Section 25608 of the Business and Professions Code, relating to alcoholic beverages.",Legal Issues
"An act to amend Sections 7504, 7504.2, 7506.5, 7506.9, 7507.3, 7507.9, and 7507.12 of the Business and Professions Code, and to amend Sections 14602.8 and 22651 of the Vehicle Code, relating to collateral recovery.",Other
"An act to amend Section 240 of, and to add and repeal Section 1390 of, the Evidence Code, relating to evidence.",Legal Issues
"An act to amend Section 13385 of the Water Code, relating to water quality.",Environmental
"An act to add Sections 52050.7 and 52052.3 to the Education Code, relating to school accountability.",Education
"An act to amend Section 43.7 of the Civil Code, relating to personal rights.",Legal Issues
"An act to amend Section 1936 of the Civil Code, relating to vehicle rental agreements.",Transportation
An act relating to parks.,Public Services
"An act to add Section 12019.5 to the Government Code, relating to state government.",State Agencies
"An act to amend Section 11343.4 of the Government Code, relating to regulations.",Legal Issues
"An act to add Sections 17053.13 and 23623.2 to the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Education
"An act to amend Section 8310.5 of, and to add Section 8310.7 to, the Government Code, relating to state agencies.",State Agencies
"An act to amend Section 6228 of the Family Code, relating to domestic violence.",Social Issues
"An act to amend Sections 35511, 35706, 35708, 35710, and 35711 of, to amend and renumber Section 35535 of, and to add Sections 35710.3, 35780.1, and 35787 to, the Education Code, relating to school district reorganization.",Education
"An act to amend Section 44017.4 of the Health and Safety Code, and to amend Section 4750.1 of the Vehicle Code, relating to vehicles.",Transportation
"An act to amend Sections 7513.8, 82002, and 82039 of, and to add Sections 7513.86, 7513.87, 82025.3, 82047.3, and 86206 to, the Government Code, relating to the Political Reform Act of 1974.",Campaign Finance and Election Issues
"An act to amend Section 19635 of, and to add Chapter 10.4 (commencing with Section 3524.1) to Division 4 of Title 1 of, the Government Code, relating to public employees.",Labor and Employment
"An act to amend Section 103680 of the Health and Safety Code, relating to vital records.",Health
"An act to amend Section 5600 of, and to add Section 5600.05 to, the Business and Professions Code, relating to architects.",Education
"An act to amend Section 25608 of the Business and Professions Code, relating to alcoholic beverages.",Education
"An act to amend Section 14132.725 of the Welfare and Institutions Code, relating to telemedicine.",Health
"An act to amend Section 23396.1 of the Business and Professions Code, relating to alcoholic beverages.",Legal Issues
"An act to amend Sections 667 and 1170.12 of the Penal Code, relating to sentencing.",Judiciary
"An act to amend Section 1257 of the Health and Safety Code, relating to health facilities.",Health
"An act to amend Sections 330a, 330b, and 330.1 of the Penal Code, relating to slot machines.",Gambling and Gaming
"An act to amend Section 18901.3 of the Welfare and Institutions Code, relating to food stamps.",Welfare and Poverty
"An act to amend Sections 1450, 1451, 1453, 1454, 1455, 1456, and 1457 of, and to add Sections 1450.1 and 1450.2 to, the Military and Veterans Code, relating to veterans.",Military
"An act to amend Sections 18250, 18251, 18253, 18253.5, 18254, 18255, and 18256.5 of, to amend the heading of Chapter 4 (commencing with Section 18250) of Part 6 of Division 9 of, to add Section 18258 to, and to repeal and add Section 18256 of, the Welfare and Institutions Code, relating to public social services.",Municipal and County Issues
"An act to amend Section 1374.20 of the Health and Safety Code, and to amend Section 10199.48 of the Insurance Code, relating to health care coverage.",Health
